user,impact
jcalca,0.1
joonster,0.0
johnbeams,2.2
eclips,0.30000000000000004
sirrokr,0.4
wabihamdi,0.0
RODEO,0.2
dzudzu,1.2
jarimuse,1.2000000000000002
sarahstokes,4.0
TBfNmiZFlT,0.1
lulu,0.0
tgsdim,0.30000000000000004
Vling,1.4000000000000001
jtest1,0.4
maria-meltsaeva,0.5
waldezign,0.8
buCARsa,1.5
TheCarDesigner,0.0
RACEXSTREAMS,0.7000000000000001
ng.noble,0.2
jjanggu,0.0
ADIS,0.1
YoavShapira,0.4
c1freestyler,0.4
Flyball,0.7
CaptainJack,0.2
rizawerks,0.1
wakeboardmn,43.599999999999994
Oct8n,0.2
sixten,0.30000000000000004
filski,2.7
bluespeed,0.0
David_Borden,0.5
rf61,0.7
buryat,0.1
Vernon715,0.2
andreyi,0.30000000000000004
UNDB,0.7000000000000001
Funcars_For_Everyday,0.4
dkpinho,0.9999999999999999
GISHKA,0.8
Gnanasingh,0.5
https:lm-shop.s3.amazonaws.comuploads4df509c8-8384-4dbd-8854-4cfaa45cf7e8.par,0.1
youknowitsomar170,0.0
prugh1224,1.0999999999999999
Huynh_Ngoc_Lan,0.0
Bentley_Boy,2.7
MattJackson,6.5
Ben-J,0.2
Designova,1.2000000000000002
Blacktulip13,0.0
Spartan_N23,0.0
robofreak,0.4
danymically,0.1
BigPetey512,0.0
braunarsch,2.1
Taskin,0.8
Dontoh,0.6
benleblanc,4.4
Frankmorales,0.0
Ahlgren,0.1
bigbug,0.1
PlutoNZ,0.1
grobbos,0.1
MikeBDFE,1.2
Badger,0.1
jvanvorst,0.5
jaurigue,0.4
bhajansrockin,0.6000000000000001
ArmandHerve____,0.1
Madjammer,3.8
justinmc,0.4
https:lm-shop.s3.amazonaws.comuploads7211a434-1141-478e-81cb-763dd1106ced.SLDPRT,0.3
stefansteenkamp,0.2
Indianmick,2.3
FLITCH,1.0
jburns,0.0
RodricusCollins2014,0.30000000000000004
Beachcowboy,2.9
Bearon,1.8
nilsh,5.7
AlonsoMLO,0.1
Buddyz,2.2
Ryan_Hendrixson,0.4
Marian,0.4
mutinymanx,0.0
LR,0.5
spoon334,4.3
jeevasjose,0.1
fogarasi,1.2000000000000002
Me2,2.5
goconnell,0.0
tjuzhengqing791,0.0
jason.s.pedersen,0.6
Ra,0.30000000000000004
Phantom1016,0.4
mohsen-janbarari,0.4
Archer762,0.5
btbredft,0.5
Brianm,2.9000000000000004
rambone,1.7
TheUltimateCarDesigner,0.4
